sample	input_reads	input_bases	reads_mapped	bases_mapped	mapping_percentage
EHI01381	42988848	6448327200	36121192	5418178800	84.02
EHI01382	44329912	6649486800	35553546	5333031900	80.20
EHI01383	42467830	6370174500	35707658	5356148700	84.08
EHI01384	48783430	7317514500	37662248	5649337200	77.20
EHI01385	55632110	8344816500	41613624	6242043600	74.80
EHI03335_M	44613742	6579942255	36345312	5358022778	81.47
EHI03336_M	69802974	10311013745	54935224	8113036561	78.70
EHI03337_M	74617654	11018312691	63830158	9425303625	85.54
EHI03338_M	54414924	8032379308	45825960	6760467950	84.22
EHI03339_M	43742564	6425689233	37225116	5485145439	85.10
EHI03340_M	44288008	6557019625	37938354	5614713666	85.66
EHI03341_M	78818974	11611827816	66481908	9792578370	84.35
EHI03342_M	58743100	8704058095	51840746	7679660434	88.25
EHI03343_M	50037052	7403821482	39398540	5827571335	78.74
EHI03344_M	52307204	7739142356	43950282	6500457686	84.02
EHI03345_M	39860862	5876238140	31580860	4655820234	79.23
EHI03346_M	49308180	7288656333	41343804	6108505798	83.85
EHI03347_M	42874716	6329088493	37303238	5505169332	87.01
EHI03348_M	45629060	6756537983	39137622	5794008847	85.77
EHI03349_M	49981434	7395423667	39450076	5835672663	78.93
EHI03350_M	50713470	7461696994	43407518	6385115973	85.59
EHI03351_M	88097196	13005455366	77161674	11392693973	87.59
EHI03352_M	44074116	6511940281	33920812	5009789697	76.96
EHI03353_M	48834038	7200352182	38967226	5744290465	79.80
EHI03354_M	29070682	4288965885	25171806	3713015908	86.59
EHI03355_M	48142052	7110927128	40654484	6002902925	84.45
EHI03356_M	46798552	6910569185	38468032	5679129312	82.20
EHI03357_M	34374224	4944033690	28254766	4059482017	82.20
EHI03358_M	51803476	7633031666	42632710	6284201076	82.30
EHI03359_M	51611770	7620686483	44307744	6542884830	85.85
EHI03360_M	36435420	5377826465	29121362	4312514434	79.93
EHI03361_M	44278544	6540104721	26656736	3940959950	60.20
EHI03362_M	33340706	4893603349	26539942	3900343181	79.60
EHI03363_M	46414668	6854695967	39178542	5785470122	84.41
EHI03364_M	57163410	8459042029	47225348	6988070840	82.61
EHI03365_M	63504426	9338468509	54694848	8039671940	86.13
EHI03366_M	36688688	5381098635	31581846	4630946889	86.08
EHI03367_M	11686780	1718798206	8354986	1228281223	71.49
EHI03368_M	49434620	7237164072	40542496	5929273028	82.01
EHI03369_M	47451518	7022617021	41292042	6110227609	87.02
EHI03370_M	47352998	6978222798	40128620	5911836786	84.74
EHI03371_M	42560730	6294173075	32532698	4810816881	76.44
EHI03372_M	36365996	5362382410	29755490	4389454358	81.82
EHI03373_M	46776102	6902063147	38633016	5697985078	82.59
EHI03374_M	37195574	5497201721	30816588	4553349657	82.85
EHI03375_M	374578	55242993	303316	44716506	80.98
EHI03376_M	49460242	7310337660	40537772	5989258949	81.96
EHI03377_M	34941132	5136969834	23703218	3491232205	67.84
EHI03378_M	35171498	5173856665	29723794	4372096353	84.51
EHI03379_M	42147120	6207423218	37662856	5549321957	89.36
EHI03380_M	39855098	5794025153	31618960	4609639656	79.33
EHI03381_M	44885044	6622733018	38133848	5632150447	84.96
EHI03382_M	43296606	6399792473	37596434	5556046824	86.83
EHI03383_M	42006000	6120670695	34839854	5077625963	82.94
EHI03384_M	5199746	742208192	3309376	486405089	63.64
EHI03385_M	49952938	7403342639	40968292	6074600179	82.01
EHI03386_M	43208224	6349004349	34205776	5033079603	79.16
EHI03387_M	29733108	4309234316	23451366	3392223799	78.87
EHI03388_M	48404126	7127200731	42622138	6274220002	88.05
EHI03389_M	65279034	9674617917	56754226	8410186778	86.94
EHI03390_M	28408834	4169680389	23030012	3381393990	81.07
EHI03391_M	35033708	5148278510	27572724	4061400857	78.70
EHI03392_M	48534578	7108738643	40165258	5908871043	82.76
EHI03393_M	50809102	7552909468	43217164	6424020896	85.06
EHI03394_M	34374990	4954318448	26731820	3952472937	77.77
EHI03395_M	35386440	4952852742	31290562	4371108102	88.43
EHI03396_M	33524540	4876211909	28037990	4077068326	83.63
EHI03397_M	41820840	6133739885	36579980	5377700831	87.47
ERR1913344	168079036	20513961126	149534152	18243155253	88.97
ERR1913440	146480528	17950116434	127153484	15575938143	86.81
ERR1913488	149125906	18159621052	132277756	16110424002	88.70
ERR1913584	150646154	18636904605	131108990	16215936582	87.03
ERR1913680	145904816	17980526931	120212506	14807937334	82.39
ERR1913872	229031112	27407494842	203345686	24331167332	88.79
ERR1913896	161660742	19908029571	131764432	16225746278	81.51
ERR1913920	132985286	16579456732	120487944	15021439478	90.60
ERR1913992	181918190	22027267057	155965262	18875537849	85.73
ERR1914112	113461492	14199884543	96696578	12101501109	85.22
ERR1914136	185450470	22596265100	166867652	20327805143	89.98
ERR1914160	219077872	26892323407	181885488	22326325825	83.02
ERR1914232	198548662	24471798148	172179248	21220464673	86.72
ERR1914256	150026064	18628745761	130316786	16177543355	86.86
ERR1914376	117510868	14692933304	99653910	12459168659	84.80
ERR1914448	108893728	13651706201	93496082	11720717604	85.86
ERR1914904	117364348	14647091427	99065448	12360849307	84.41
ERR1915144	132593912	16478910097	112556404	13987235280	84.89
ERR1915264	157347626	19335188926	131279596	16127507185	83.43
ERR1915456	118247268	14671433761	98016518	12161457795	82.89
ERR1915624	144722180	17986910930	132100676	16417516865	91.28
ERR1915648	96892376	12104846235	81923028	10233092343	84.55
ERR1915672	109885582	13609307808	94576974	11709573195	86.07
ERR1915720	86610676	10847891182	67704560	8480377843	78.17
ERR1915792	95310046	11944450763	75119206	9414466557	78.82
ERR1915840	95768756	11983484211	83488462	10446274102	87.18
ERR1915864	104842716	12967133328	85734744	10602672923	81.77
ERR1915888	123302746	15274874045	100070030	12391818189	81.16
ERR1916008	121203302	15060615673	100062142	12433300117	82.56
ERR1916080	207592820	25452748745	187277140	22957380396	90.21
ERR1916320	139117626	17139704325	108590084	13383912821	78.06
GL_01_02	117652080	17074381338	35471860	5118889803	30.15
GL_01_04	59832612	8737993533	47093640	6874840241	78.71
GL_01_05	157204958	23042268025	133344192	19545869151	84.82
GL_01_06	151533098	21685227284	112728080	16099244545	74.39
GL_01_07	40800476	5990656105	34202678	5021033958	83.83
GL_02_01	81673282	11770776020	53929814	7760840216	66.03
GL_02_02	55552260	7986371456	23435734	3361317277	42.19
GL_02_03	96770684	14042423489	73799396	10725296768	76.26
GL_02_04	76283658	10871988306	64862108	9226084227	85.03
GL_02_05	91043368	13097381433	70226212	10119120318	77.13
GL_02_06	73483952	10613883247	50983208	7354483433	69.38
GL_03_01	61535730	8614258587	49715368	6934371210	80.79
GL_03_02	188280826	27042632225	131076914	18785362961	69.62
GL_03_03	63021112	8956326672	52840584	7500430222	83.85
GL_03_04	29174792	3640443350	23118260	2839726412	79.24
GL_03_05	79642654	11488632200	65955138	9505588740	82.81
GL_03_06	91806910	13259259623	72784794	10498740994	79.28
GL_03_07	62384414	9051910877	49854250	7227595528	79.91
GL_03_09	46885868	6699695790	37265782	5313245867	79.48
GL_03_10	47040754	6905722131	35791134	5254237768	76.09
GL_03_11	64351166	9063802344	52279860	7343717142	81.24
GL_03_12	55448330	7801399653	45270170	6358727605	81.64
GL_03_13	61241740	8956901613	48469250	7085658245	79.14
GL_03_14	60040392	8688931320	50218900	7258886374	83.64
GL_04_01	163060878	23565952158	142093800	20515333580	87.14
GL_04_02	47433108	6781941535	39122662	5573574322	82.48
GL_04_03	80934318	11706274421	66593770	9609873181	82.28
GL_04_04	66248532	9092132775	53669550	7305851430	81.01
GL_04_05	105567486	14114888913	88501046	11733608655	83.83
GL_04_06	12698590	1542612316	10198528	1226676264	80.31
GL_04_07	71041340	10290186733	49537028	7165442641	69.73
GL_04_08	107637534	15602325530	82619628	11987150834	76.76
GL_04_09	63183152	9293887418	52643138	7742416283	83.32
GL_04_10	75378562	11030533311	62763898	9175594637	83.26
GL_05_01	45480822	6639349600	30246334	4430965174	66.50
GL_05_03	87783362	12669516992	71690686	10329469950	81.67
GL_05_04	56874266	8266809826	48581546	7058162566	85.42
GL_05_06	10822148	1313911034	9656714	1169414111	89.23
GL_05_07	47743462	6854200543	39100660	5604420434	81.90
GL_05_09	75577800	11089824217	63945320	9378981265	84.61
GL_05_10	46262510	6748499452	36078658	5264525021	77.99
GL_05_11	43302786	6322882818	34109614	4984802868	78.77
GL_05_12	50478892	7207967150	41070030	5852564152	81.36
GL_06_01	53163152	7422873710	43271482	6026317396	81.39
GL_06_02	58134014	8439862350	48830268	7085181372	84.00
GL_06_03	35760694	5167126203	28660084	4134556338	80.14
GL_06_04	258576492	37357872019	221430346	31972756484	85.63
GL_06_05	44729346	6445495293	37373248	5383255116	83.55
GL_06_06	34143936	4938173194	28283902	4085852762	82.84
GL_07_01	44691846	6454342470	37998484	5483757535	85.02
