Code,Research agreement,District,Owner age range,Origin of the dog,Breed,Mixed_vs_pure,Size_acc_owners,Weight (Kg),Body condition,Body condition simplified,Size_detailed,Size_cluster,Size_class,Age_years,Age_classification,Animal_age_simplified,Sex,Sterilized or castrated,Household,Other animals in household,Specify,Animals_at_home,Other_cats,Diet based on,Diet.simplified,Raw_food,Supplements,Fish_oil_at_least_monthly,Supplements_frequency,Smoking_spaces,Walking time,Other dogs in walks,Interactions with other animals,Interactions_animals_frequency,Lifestyle,Outdoors time unleashed,Time alone without human,Time_no_humans,Dog bathing,Dog habits,Licks urine or feces,Carries_sticks,Dog vaccination,Veterinarian visits,Antiparasitic treatment,Chronic disease,Specify,Last 2 months: any health issues?,Specify,Last 2 months: any treatment?,Detail about the treatment,Specify,Last 2 months: any antibiotics?,Specify,Last 2 months: any surgery?,Specify,Time (h) passed,Sampling_processing_t,Household,Fur in feces?,Vegetation or stones?,Undigested food?
D001,Yes,Pudong New Area District,36-45,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Small,10,Lean or normal weight,Lean or normal weight,III,III,medium,2.3,Mature_adult,Adult,Male,Yes,Garden flat,Yes,Dog,Extra_dog,Cat,Commercialized dog-specific fresh food (cooked),Fresh food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,30 min or less,No,Few times a year,Never-Few_times_a_year,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,More than 6h,Monthly,"Drinks water from puddles, ditches, or other drainage systems|Eats or licks feces or urine",Yes,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),4,Within_same_day,1,Yes,undet,maybe
D002,Yes,Pudong New Area District,36-45,Pet store,Yorkshire Terrier,Pure breed,Small,2.5,Obese,Obese or overweight,I,I,small,2.4,Mature_adult,Adult,Female,Yes,Garden flat,Yes,Dog,Extra_dog,Cat,Wet food (canned food),Wet food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,30 min or less,Yes,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,More than 6h,Monthly,Carries or gnaws sticks,No,Yes,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),4,Within_same_day,1,Yes,undet,undet
D003,Yes,Pudong New Area District,46-55,Animal breeder,Miniature schnauzer,Pure breed,Small,7,Lean or normal weight,Lean or normal weight,II,II,small,2.1,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),Unique_dog,Other,Dry food (kibble),Dry food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,About 1 hour,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,3-6 hours,Less than 6h,Weekly,None,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,Fresh_sample (up to 2h),2,Yes,undet,undet
D004,Yes,Pudong New Area District,36-45,Stray animals on the roadside,Mixed breed,Mixed breed,Small,2,Lean or normal weight,Lean or normal weight,I,I,small,14.3,Geriatric,Senior,Female,Yes,Apartment,Yes,3 Cats and 2 dogs,Dog_cat,Other,Wet food (canned food),Wet food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,30 min or less,No,Never,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Monthly,None,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,Fresh_sample (up to 2h),3,undet,undet,undet
D005,Yes,Pudong New Area District,46-55,Stray animals on the roadside,Mixed breed,Mixed breed,Medium,20,Obese,Obese or overweight,III-overweight,III,medium,9.1,Early_senior,Senior,Female,Yes,Apartment,Yes,Cats and dogs,Dog_cat,Other,Dry food (kibble),Dry food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,About 1 hour,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,More than 10 hours,More than 6h,Monthly,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,Fresh_sample (up to 2h),3,undet,undet,maybe
D006,Yes,Pudong New Area District,46-55,Rescued animal / Animal shelter,Schnauzer,Pure breed,Small,10,Lean or normal weight,Lean or normal weight,III,III,medium,15,Geriatric,Senior,Male,Yes,Apartment,Yes,"2 dogs, 3 cats",Dog_cat,No,Dry food (kibble),Dry food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,About 1 hour,No,Few times a year,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Monthly,None,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,Yes,"epilepsy, tumors on liver",No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,Fresh_sample (up to 2h),3,undet,undet,undet
D007,Yes,Pudong New Area District,36-45,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Small,5,Lean or normal weight,Lean or normal weight,I,I,small,3,Mature_adult,Adult,Female,Yes,Garden flat,Yes,"Another Shiba inu, bougth from breeder",Extra_dog,No,Dry food (kibble),Dry food,Never,Unknown,Unknown,frequently (monthly-daily),No,About 1 hour,No,Monthly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,0-2 hours,Less than 6h,Monthly,Eats grass or other vegetation|Eats or licks feces or urine,Yes,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),12,Within_same_day,4,undet,undet,undet
D008,Yes,Pudong New Area District,36-45,Animal breeder,Shiba Inu,Pure breed,Medium,16,Overweight,Obese or overweight,II/III-overweight,II/III,medium,3.1,Mature_adult,Adult,Male,Yes,Garden flat,Yes,Dog,Extra_dog,Cat,Dry food (kibble),Dry food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,About 1 hour,Yes,Monthly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,0-2 hours,Less than 6h,Monthly,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),12,Within_same_day,4,undet,undet,undet
D010,Yes,Pudong New Area District,26-35,Animal breeder,Shih Tzu,Pure breed,Small,9,Lean or normal weight,Lean or normal weight,II,II,small,8,Early_senior,Senior,Male,Yes,House,No,(empty),Unique_dog,No,Wet food (canned food),Wet food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,About 1 hour,No,Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,0-2 hours,Less than 6h,Monthly,"Drinks water from puddles, ditches, or other drainage systems|Eats or licks feces or urine",Yes,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,Fresh_sample (up to 2h),6,undet,undet,undet
D011,Yes,Pudong New Area District,26-35,Animal breeder,Labrador retriever,Pure breed,Medium,65,Lean or normal weight,Lean or normal weight,VI-Lab-mixed,VI,large,7,Mature_adult,Adult,Female,Yes,Apartment,Yes,cats,Dog_cat,Cat,Dry food (kibble),Dry food,Never,No_supplements,No,rarely_or_never (few times a year - never),Yes,About 1 hour,No,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,3-6 hours,Less than 6h,Never or few times a year,None,No,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,Fresh_sample (up to 2h),7,undet,undet,undet
D012,Yes,Pudong New Area District,26-35,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Medium,9.8,Lean or normal weight,Lean or normal weight,III,III,medium,3.6,Mature_adult,Adult,Male,Yes,Apartment,Yes,2 other dogs and a cat,Dog_cat,Cat,Dry food (kibble),Dry food,Never,Other_supp,No,frequently (monthly-daily),No,About 1 hour,(empty),Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,More than 10 hours,More than 6h,Few times a month,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,Yes,Seizures,No health disorders within the last 2 months,(empty),Yes,I know the treatment,For epilepsy,No,(empty),No,(empty),3,Within_same_day,8,undet,Yes,undet
D015,Yes,Pudong New Area District,26-35,Rescued animal / Animal shelter,Border Collie,Pure breed,Medium,18,Lean or normal weight,Lean or normal weight,IV,IV,medium,1,Juvenile,Young,Male,Yes,Apartment,Yes,Dog,Extra_dog,No,Dry food (kibble),Dry food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,About 1 hour,No,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,More than 6h,Few times a month,"Drinks water from puddles, ditches, or other drainage systems",No,No,Rabies,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,"I don't remember the treatment, but it was for this health condition",(empty),No,(empty),No,(empty),12,Within_same_day,11,undet,Yes,undet
